rank,team_id,team_slug,team_name,tier
841,12790,team-fiveon,"97

Team FiveOn

1,000",5
842,12797,team-dragon-slayers,"97

Team Dragon Slayers

1,000",5
843,12802,aggresive,"97

AGGRESIVE

1,000",5
844,12805,elite-fighter-legion,"97

Elite Fighter Legion

1,000",5
845,12815,dimensional,"97

Dimensional

1,000",5
846,12820,vitality,"97

Vitality-

1,000",5
847,12823,pokerpunch-gaming,"97

Pokerpunch Gaming

1,000",5
848,12825,gentoostar,"97

GenTooStar

1,000",5
849,12837,ron,"97

|RON|

1,000",5
850,12838,rekon,"97

ReKon

1,000",5
851,12841,dogegaming,"97

DogeGaming

1,000",5
852,12855,team-surekill,"97

Team SureKill

1,000",5
853,12857,pajama-monsters,"97

Pajama Monsters

1,000",5
854,12858,hawx-gaming,"97

Hawx.Gaming

1,000",5
855,12867,aeon-esports,"97

Aeon eSports

1,000",5
856,12868,revadra-esports,"97

Revadra eSports

1,000",5
857,12869,alkas,"97

ALKAS

1,000",5
858,12873,skjak-conspiracy,"97

Skjåk Conspiracy

1,000",5
859,12876,games-soldiers,"97

Games Soldiers

1,000",5
860,12883,waspsgaming,"97

WaspsGaming

1,000",5
861,12886,pantheon,"97

Pantheon

1,000",5
862,12887,team-venomsnake,"97

Team VenomSnake

1,000",5
863,12889,pulse-gaming,"97

PuLse Gaming

1,000",5
864,12898,2622236,"97

2622236

1,000",5
865,12899,zone-hl2,"97

Zone-HL2

1,000",5
866,12900,red-white-blood,"97

Red White Blood

1,000",5
867,12901,aephaxia,"97

Aephaxia

1,000",5
868,12904,team-xetex-cs,"97

Team Xetex.CS

1,000",5
869,12908,high-density,"97

High Density

1,000",5
870,12909,team-neptune,"97

Team Neptune

1,000",5
871,12911,battalion-of-gamers,"97

Battalion of Gamers

1,000",5
872,12914,youdon-tsay,"97

YouDon'tSay

1,000",5
873,12915,speed-is-king,"97

Speed is King

1,000",5
874,12916,anomic,"97

Anomic

1,000",5
875,12921,team-bellend,"97

Team BellEnd

1,000",5
876,12922,nuclear-hitz,"97

Nuclear Hitz

1,000",5
877,12923,novicea,"97

Novicea

1,000",5
878,12924,chewinggummers,"97

ChewingGummers

1,000",5
879,12926,the-curry-crew,"97

The curry crew

1,000",5
880,12937,onyater,"97

OnYater

1,000",5
881,12939,cr3pto,"97

Cr3pto

1,000",5
882,12940,oblivian,"97

Oblivian

1,000",5
883,12941,quantum-knights,"97

Quantum Knights

1,000",5
884,12942,the-hitchhickers,"97

The Hitchhickers

1,000",5
885,12943,proud-slayers,"97

Proud Slayers

1,000",5
886,12945,prups,"97

PRUPS

1,000",5
887,12946,team-almanz,"97

Team Almanz

1,000",5
888,12947,porobieni,"97

Porobieni

1,000",5
889,12954,volant,"97

Volant

1,000",5
890,12955,esports-quietly,"97

eSports Quietly

1,000",5
891,12960,blood-dragons-team-brazilian,"97

Blood Dragons Team Brazilian

1,000",5
892,12961,team-serpentes,"97

Team Serpentes

1,000",5
893,12964,qc-team,"97

QC.TEam

1,000",5
894,12966,euplays,"97

EUplays

1,000",5
895,12967,team-entinity,"97

Team Entinity

1,000",5
896,12968,brunno,"97

Brunno

1,000",5
897,13086,team-maniifest,"97

Team Maniifest

1,000",5
898,13087,ninjas-palma,"97

ninjas/palma

1,000",5
899,13088,fromhumanstogamers,"97

FromHumansToGamers

1,000",5
900,13108,team-gen,"97

Team Gen~

1,000",5
901,13109,adunum,"97

AdunuM

1,000",5
902,13112,sydergaming,"97

SyderGaming

1,000",5
903,13117,slapping-hard,"97

Slapping Hard

1,000",5
904,13118,doom-decides,"97

Doom Decides

1,000",5
905,13120,isg-vindicta,"97

iSg.Vindicta

1,000",5
906,13121,team-invincible-force,"97

Team Invincible Force

1,000",5
907,13122,stratos-esports,"97

Stratos ESports.

1,000",5
908,13123,triton-cs,"97

Triton.cs

1,000",5
909,13124,stratos-esports,"97

Stratos eSports

1,000",5
910,13126,bilibili,"97

BiliBili

1,000",5
911,13127,perfectionist,"97

PerfectionisT

1,000",5
912,13128,arcticpanda,"97

Arcticpanda

1,000",5
913,13130,thelynchsquad,"97

TheLynchSquad

1,000",5
914,13131,secz,"97

SECZ

1,000",5
915,13132,tallburger,"97

TallBurger

1,000",5
916,13135,i-am,"97

I am

1,000",5
917,13137,team-doublemid,"97

Team DoubleMid

1,000",5
918,13138,beards,"97

Beards

1,000",5
919,13139,bubble-cz,"97

.:Bubble_CZ:.

1,000",5
