rank,team_id,team,,tier,hltv_id,slug
142,56341,bushido wildcats,,4,13281,bushido-wildcats
144,,lithuanian wolves,,4,13182,lithuanian-wolves
145,,alter ego,,4,9958,alter-ego
146,51226,hyperspirit,,4,13012,hyperspirit
147,,just swing,,4,13053,just-swing
148,54180,aether,,4,12908,aether
150,49463,mousquetaires,,4,13251,mousquetaires
151,,khan,,4,11175,khan
152,55751,algo,,4,13163,algo
153,,bdb,,4,13400,bdb
155,31183,big academy,,4,10254,big-academy
158,,vasco,,4,13413,vasco
159,46410,wahwah,,4,11878,wahwah
163,40104,insilio,,4,12124,insilio
164,9402,mythic,,4,5479,mythic
165,29873,prestige,,4,13159,prestige
166,46244,yawara,,4,11933,yawara
169,53936,boring players,,4,12948,boring-players
170,17954,extalon,,4,13212,ex-talon
171,53381,wopa,,4,12787,wopa
172,56422,outfit 49,,4,13294,outfit-49
176,40525,eclot,,4,7441,eclot
179,25705,ground zero,,4,8536,ground-zero
182,48765,kzg,,4,12152,kzg
183,36545,masonic,,5,10867,masonic
192,34049,fury,,5,10299,fury
195,37232,young ninjas,,5,10960,young-ninjas
197,54332,wanted goons,,5,12971,wanted-goons
198,53038,rustec,,5,12834,rustec
199,,dripmen,,5,11553,dripmen
201,26001,brute,,5,9139,brute
202,49308,mindfreak,,5,11668,mindfreak
206,28901,xi,,5,8947,xi
210,48763,aurora young blud,,5,12366,aurora-young-blud
211,24405,minlate,,5,6626,minlate
219,41565,mibr academy,,5,3044,mibr-academy
226,55761,magicos,,5,13265,magicos
227,46835,pain academy,,5,11905,pain-academy
229,45374,big equipa,,5,11718,big-equipa
231,41754,glitchtech,,5,13285,glitchtech
245,55741,basement boys,,5,13181,basement-boys
257,54382,red canids academy,,5,13029,red-canids-academy
9999,8604,complexity,,5,5005,complexity
9999,34199,NAVI junior,,5,10371,navi-junior
9999,46407,9pandas,,5,11883,9-pandas
9999,55402,iberian soul,,5,13104,iberian-soul
9999,36342,furia-fe,,5,10976,furia-fe
9999,51462,rush B,,5,12559,rush-b
9999,48030,kubix,,5,,
9999,49214,solid,,5,,
9999,46690,nouns,,5,11948,nouns
9999,56066,astrum,,5,13235,astrum
9999,9240,bluejays,,5,5347,bluejays
9999,55490,swingers,,5,,
9999,32468,party astronauts,,5,8038,party-astronauts
9999,22622,ex pain gaming,,5,,
9999,52207,rebels,,5,12642,rebels
9999,7398,alternate attax,,5,,
9999,55742,wild lotus,,5,13184,wildlotus
9999,9011,elevate,,5,5775,elevate
9999,48247,flamengo,,5,12065,flamengo
9999,52145,vagrants,,5,,
9999,53608,allinners,,5,12812,allinners
9999,55622,dogevil,,5,,
9999,55678,supernova comets,,5,13146,supernova-comets
9999,56395,omemo,,5,,
9999,56595,babag,,5,,
9999,56598,mouse,,5,,
9999,56600,sportsbetexpert,,5,,
9999,56782,kolesie,,5,,
9999,33844,imperial female,,5,,
9999,55636,hesta,,5,13153,hesta
9999,55831,anything-else,,5,,
9999,55924,lfo-4,,5,,
9999,56205,ex-astralis-talent,,5,,
9999,56414,eco-sh6afeh,,5,,
9999,56475,eucl-prodigies,,5,,
9999,56605,firesale,,5,,
9999,56860,ex-natus-vincere-junior,,5,,
9999,8655,entity,,5,,
9999,37434,mibr female,,5,,
9999,47432,permitta,,5,,
9999,49815,flyquest red,,5,12301,flyquest-red
9999,54013,rosy,,5,,
9999,55988,scarx,,5,,
9999,56240,famx,,5,,
9999,56609,acez,,5,,
9999,56612,phantom sense,,5,,
9999,34996,rhyno,,5,10947,rhyno
9999,36904,honved,,5,,
9999,39339,benched,,5,,
9999,49748,NIP impact,,5,11917,nip-impact
9999,54563,ak bars,,5,,
9999,54981,flowstate,,5,,
9999,55952,my dads rich,,5,,
9999,56281,pajuris,,5,,
9999,56319,perplexity,,5,,
9999,56657,undr x ntr,,5,,
9999,39188,o plano,,5,,
9999,41812,kappa bar,,5,,
9999,54124,underrated,,5,,
9999,54300,lumen,,5,,
9999,55587,prototype-blaze,,5,,
9999,55616,black-mold,,5,,
9999,55992,daaku,,5,,
9999,56052,ex-leon-esports,,5,,
9999,56111,crashout,,5,,
9999,56458,cswalkers,,5,,
9999,56685,zazaa,,5,,
9999,14365,fluffy-gangsters,,5,,
9999,35127,100pinggods,,5,,
9999,36453,come-mid,,5,,
9999,36583,wings-up-gaming,,5,10851,wings-up
9999,44076,bad-news-eagles,,5,,
9999,44523,lf0,,5,,
9999,47675,1win,,5,,
9999,53699,5goblinz,,5,,
9999,53710,lanchouba,,5,,
9999,54083,1lezyskibidi,,5,,
9999,54295,regnum4games,,5,,
9999,54775,privateshow,,5,,
9999,55259,adventurers,,5,,
9999,55286,le%C3%A7a-fc-esports,,5,,
9999,55337,old,,5,,
9999,55362,chill-guys,,5,,
9999,55484,gardengarage,,5,,
9999,55890,anime-avatars,,5,,
9999,55894,bannda,,5,,
9999,55898,dancompany,,5,,
9999,55909,roler-coaster,,5,,
9999,55927,1jin,,5,,
9999,55940,baiting-noiro,,5,,
9999,55942,la-glazers,,5,,
9999,56077,lfo,,5,,
9999,56180,nomoney,,5,,
9999,56244,bankai,,5,,
9999,56460,the-fellas,,5,,
9999,56568,teamsolmanmidac,,5,,
9999,56682,the-continental,,5,,
9999,56744,yoyo-esports,,5,,
9999,56836,tsg,,5,,
9999,9064,team-slovakia,,5,,
