rank,team,points,slug
191,MANTRA,605,MANTRA
192,Victores Sumus,604,Victores_Sumus
193,Black Mold,602,Black_Mold
194,CS2News Ladies,601,CS2News_Ladies
195,Bounty Hunters fe,598,Bounty_Hunters_fe
196,Underground,596,Underground
197,ATOX,594,ATOX
198,K27,591,K27
199,thekillaz fe,591,thekillaz_fe
200,modeame,588,modeame
201,MIBR Academy,586,MIBR_Academy
202,ex-Heimo,585,ex-Heimo
203,Ghost,584,Ghost
204,Spray and Slay,581,Spray_and_Slay
205,Akuma,578,Akuma
206,MEGA JUNERS,573,MEGA_JUNERS
207,Change The Game,570,Change_The_Game
208,FORZE Reload,568,FORZE_Reload
209,Kubix,563,Kubix
210,Hesta,560,Hesta
211,Elevate,560,Elevate
212,Roler Coaster,559,Roler_Coaster
213,KZG,557,KZG
214,Worms,551,Worms
215,Justice For Tomorrow,550,Justice_For_Tomorrow
216,SkyFury,545,SkyFury
217,The QUBE,545,The_QUBE
218,kONO,543,kONO
219,Illuminar,540,Illuminar
220,Messitas,536,Messitas
221,Daaku,533,Daaku
222,benched,531,benched
223,Preasy,530,Preasy
224,Mythic,530,Mythic
225,Wildcard Academy,529,Wildcard_Academy
226,Mercenaires,528,Mercenaires
227,ESC,528,ESC
228,Nuclear TigeRES,520,Nuclear_TigeRES
229,ScarX,520,ScarX
230,inputprayers,519,inputprayers
231,harizma,517,harizma
232,paiN Academy,515,paiN_Academy
233,Immigrants peek,514,Immigrants_peek
234,regain,513,regain
235,InControl,506,InControl
236,LaChampionsLiga,504,LaChampionsLiga
237,Vantage,503,Vantage
238,moneyF,501,moneyF
239,nomercy fe,499,nomercy_fe
240,GhoulsW,499,GhoulsW
241,GATERON,496,GATERON
242,ex-Permitta,495,ex-Permitta
243,Take Flyte,495,Take_Flyte
244,LFO 3,493,LFO_3
245,Mousquetaires,492,Mousquetaires
246,MCS,490,MCS
247,Nyx Empyre,488,Nyx_Empyre
248,LEON,486,LEON
249,Astralis Talent,483,Astralis_Talent
250,BASEMENT BOYS,483,BASEMENT_BOYS
251,Straight2Killin,473,Straight2Killin
252,VELOX,473,VELOX
253,Galorys,470,Galorys
254,NITRO,468,NITRO
255,Insilio,466,Insilio
256,WOPA,450,WOPA
257,POWERmix,410,POWERmix
258,Steel Helmet,407,Steel_Helmet
259,Nordix,406,Nordix
260,Lazer Cats,405,Lazer_Cats
261,Aether,401,Aether
262,Familia Maquininha,399,Familia_Maquininha
263,Virtual Cottage,394,Virtual_Cottage
264,2070,392,2070
