rank,team,points,slug_x,hltv_id,slug,tier
121,Nouns,727,Nouns,11948,nouns,5
122,HEROIC Academy,720,HEROIC_Academy,,,5
123,Monte,719,Monte,11811,monte,4
124,Housebets,717,Housebets,,,5
125,RED Canids,713,RED_Canids,7176,red-canids,4
87,CPH Wolves,712,CPH_Wolves,4548,cph-wolves,4
127,Leo,706,Leo,,,5
128,Mindfreak,705,Mindfreak,,,5
129,LP,704,LP,,,5
130,NinJa,703,NinJa,,,5
131,Just Swing,696,Just_Swing,,,5
132,Akimbo,696,Akimbo,,,5
133,ShindeN,694,ShindeN,12959,shinden,5
134,Bad News Capybaras,688,Bad_News_Capybaras,,,5
135,PERPLEXITY,680,PERPLEXITY,,,5
136,WildLotus,679,WildLotus,,,5
137,Gods Reign,677,Gods_Reign,,,5
138,Only One Word,670,Only_One_Word,,,5
139,Chicken Coop,666,Chicken_Coop,,,5
140,MIBR fe,665,MIBR_fe,,,5
141,Tsunami,664,Tsunami,,,5
142,Fisher College,664,Fisher_College,,,5
143,THE,663,THE,,,5
144,Marca Registrada,661,Marca_Registrada,,,5
145,IHC,661,IHC,,,5
146,Party Astronauts,661,Party_Astronauts,8038,party-astronauts,4
147,UNiTY,659,UNiTY,,,5
148,JANO,658,JANO,,,5
149,América,654,América,,,5
150,Lumen fe,646,Lumen_fe,,,5
151,LAG,646,LAG,11955,lag,4
152,ROSY,645,ROSY,,,5
153,adalYamigos,642,adalYamigos,,,5
154,DMS,640,DMS,,,5
155,Aether,640,Aether,,,5
156,QMISTRY,639,QMISTRY,,,5
157,UNO MILLE,639,UNO_MILLE,,,5
158,Shika,639,Shika,,,5
159,Dusty Roots,636,Dusty_Roots,12548,dusty-roots,5
160,JERSA,636,JERSA,,,5
161,Eyeballers,634,Eyeballers,,,5
162,O PLANO,633,O_PLANO,,,5
163,Victores Sumus,631,Victores_Sumus,,,5
164,GameAgents,631,GameAgents,,,5
165,MIGHT,630,MIGHT,,,5
166,Yawara,627,Yawara,11933,yawara,5
167,Akimbo,626,Akimbo,,,5
168,anything else,624,anything_else,,,5
169,NOVAQ,624,NOVAQ,,,5
170,MAGICOS,623,MAGICOS,,,5
171,BIG EQUIPA,622,BIG_EQUIPA,,,5
172,LA MASIA,622,LA_MASIA,,,5
173,HAVU,620,HAVU,,,5
174,Floripa Stars,617,Floripa_Stars,,,5
175,Wanted Goons,615,Wanted_Goons,,,5
176,Roler Coaster,614,Roler_Coaster,,,5
177,Let Her Cook,613,Let_Her_Cook,,,5
178,8Sins,613,8Sins,,,5
179,Tropa do KinGui,612,Tropa_do_KinGui,,,5
180,Eco Warriors,612,Eco_Warriors,,,5
181,Players,611,Players,11711,players,5
182,ESC,611,ESC,,,5
183,Portuguese Family,610,Portuguese_Family,,,5
184,NomadS,607,NomadS,12900,nomads,5
185,Mindfreak,607,Mindfreak,,,5
186,AKA HERO KAJO,607,AKA_HERO_KAJO,,,5
187,Preasy,606,Preasy,12334,preasy,5
188,girl kissers,605,girl_kissers,,,5
189,GameHunters,605,GameHunters,12988,gamehunters,5
190,Quem Sao Elas,605,Quem_Sao_Elas,,,5
191,MANTRA,605,MANTRA,,,5
192,Victores Sumus,604,Victores_Sumus,,,5
193,Black Mold,602,Black_Mold,,,5
194,CS2News Ladies,601,CS2News_Ladies,,,5
195,Bounty Hunters fe,598,Bounty_Hunters_fe,,,5
196,Underground,596,Underground,,,5
197,ATOX,594,ATOX,,,5
198,K27,591,K27,12895,k27,5
199,thekillaz fe,591,thekillaz_fe,,,5
200,modeame,588,modeame,,,5
201,MIBR Academy,586,MIBR_Academy,,,5
202,ex-Heimo,585,ex-Heimo,,,5
203,Ghost,584,Ghost,,,5
204,Spray and Slay,581,Spray_and_Slay,,,5
205,Akuma,578,Akuma,,,5
206,MEGA JUNERS,573,MEGA_JUNERS,,,5
207,Change The Game,570,Change_The_Game,,,5
208,FORZE Reload,568,FORZE_Reload,12857,forze-reload,5
209,Kubix,563,Kubix,,,5
210,Hesta,560,Hesta,,,5
211,Elevate,560,Elevate,,,5
212,Roler Coaster,559,Roler_Coaster,,,5
213,KZG,557,KZG,,,5
214,Worms,551,Worms,,,5
215,Justice For Tomorrow,550,Justice_For_Tomorrow,,,5
216,SkyFury,545,SkyFury,,,5
217,The QUBE,545,The_QUBE,,,5
218,kONO,543,kONO,12858,kono,5
219,Illuminar,540,Illuminar,,,5
220,Messitas,536,Messitas,,,5
221,Daaku,533,Daaku,,,5
222,benched,531,benched,,,5
223,Preasy,530,Preasy,12334,preasy,5
224,Mythic,530,Mythic,,,5
225,Wildcard Academy,529,Wildcard_Academy,,,5
226,Mercenaires,528,Mercenaires,,,5
227,ESC,528,ESC,,,5
228,Nuclear TigeRES,520,Nuclear_TigeRES,,,5
229,ScarX,520,ScarX,,,5
230,inputprayers,519,inputprayers,,,5
231,harizma,517,harizma,,,5
232,paiN Academy,515,paiN_Academy,,,5
233,Immigrants peek,514,Immigrants_peek,,,5
234,regain,513,regain,,,5
235,InControl,506,InControl,,,5
236,LaChampionsLiga,504,LaChampionsLiga,,,5
237,Vantage,503,Vantage,,,5
238,moneyF,501,moneyF,,,5
239,nomercy fe,499,nomercy_fe,,,5
240,GhoulsW,499,GhoulsW,,,5
241,GATERON,496,GATERON,,,5
242,ex-Permitta,495,ex-Permitta,,,5
243,Take Flyte,495,Take_Flyte,,,5
244,LFO 3,493,LFO_3,,,5
245,Mousquetaires,492,Mousquetaires,,,5
246,MCS,490,MCS,,,5
247,Nyx Empyre,488,Nyx_Empyre,,,5
248,LEON,486,LEON,,,5
249,Astralis Talent,483,Astralis_Talent,,,5
250,BASEMENT BOYS,483,BASEMENT_BOYS,13181,basement-boys,5
